population,policy,budget,escalation_rate,quality,threshold,assumed_frontier_success,escalation__drafting,escalation__intent,escalation__pii,escalation__urgency,quality__drafting,quality__intent,quality__pii,quality__urgency
router_eval,random,0.0,0.0,0.6532,,,0.0,0.0,0.0,0.0,0.4899,0.8817,0.7167,0.4972
router_eval,random,0.05,0.05,0.6386,0.947978,,0.0696,0.054,0.0397,0.0369,0.4667,0.8715,0.6912,0.4972
router_eval,random,0.1,0.1001,0.6206,0.898036,,0.1043,0.1003,0.1076,0.0881,0.4551,0.8612,0.6459,0.4915
router_eval,random,0.2,0.2001,0.5886,0.793396,,0.2203,0.1954,0.1955,0.1903,0.4029,0.8432,0.6006,0.4773
router_eval,random,0.3,0.3002,0.5483,0.693109,,0.3188,0.3059,0.2748,0.3011,0.3478,0.8098,0.5524,0.4517
router_eval,random,0.5,0.5003,0.4746,0.481811,,0.4725,0.5039,0.5014,0.5227,0.2841,0.7481,0.3938,0.4403
router_eval,random,0.75,0.7498,0.394,0.241564,,0.7159,0.7789,0.728,0.7727,0.1942,0.6735,0.2635,0.4119
router_eval,random,1.0,1.0,0.3037,6e-06,,1.0,1.0,1.0,1.0,0.087,0.6093,0.1048,0.3778
router_eval,confidence,0.0,0.0,0.6532,,,0.0,0.0,0.0,0.0,0.4899,0.8817,0.7167,0.4972
router_eval,confidence,0.05,0.05,0.6463,0.516971,,0.1971,0.0103,0.0,0.0,0.4493,0.892,0.7167,0.4972
router_eval,confidence,0.1,0.1001,0.6303,0.469493,,0.3826,0.0231,0.0,0.0085,0.3855,0.892,0.7167,0.4943
router_eval,confidence,0.2,0.2001,0.6032,0.387884,,0.6783,0.036,0.0,0.1136,0.2725,0.8946,0.7167,0.4915
router_eval,confidence,0.3,0.3002,0.5789,0.329829,,0.8464,0.0411,0.0,0.3523,0.1942,0.8972,0.7167,0.4659
router_eval,confidence,0.5,0.5003,0.5302,0.140641,,1.0,0.09,0.0,0.9659,0.087,0.8869,0.7167,0.3835
router_eval,confidence,0.75,0.7498,0.4413,0.002676,,1.0,0.6607,0.3541,1.0,0.087,0.6967,0.5694,0.3778
router_eval,confidence,1.0,1.0,0.3037,2.4e-05,,1.0,1.0,1.0,1.0,0.087,0.6093,0.1048,0.3778
router_eval,router_p_fail,0.0,0.0,0.6532,,,0.0,0.0,0.0,0.0,0.4899,0.8817,0.7167,0.4972
router_eval,router_p_fail,0.05,0.05,0.6421,0.52713,,0.058,0.0,0.0,0.1477,0.4609,0.8817,0.7167,0.4801
router_eval,router_p_fail,0.1,0.1001,0.6393,0.525854,,0.1275,0.0,0.0,0.2841,0.4464,0.8817,0.7167,0.483
router_eval,router_p_fail,0.2,0.2001,0.6157,0.523998,,0.3449,0.0,0.0,0.4801,0.3768,0.8817,0.7167,0.4545
router_eval,router_p_fail,0.3,0.3002,0.5823,0.522354,,0.5855,0.0,0.0,0.6534,0.2725,0.8817,0.7167,0.4205
router_eval,router_p_fail,0.5,0.5003,0.5212,0.366983,,1.0,0.0,0.0652,1.0,0.087,0.8817,0.6912,0.3778
router_eval,router_p_fail,0.75,0.7498,0.3697,0.154125,,1.0,0.0746,1.0,1.0,0.087,0.8535,0.1048,0.3778
router_eval,router_p_fail,1.0,1.0,0.3037,0.121395,,1.0,1.0,1.0,1.0,0.087,0.6093,0.1048,0.3778
router_eval,oracle,0.0,0.0,0.6532,,,0.0,0.0,0.0,0.0,0.4899,0.8817,0.7167,0.4972
router_eval,oracle,0.05,0.05,0.7033,1.0,,0.0203,0.0411,0.0057,0.1335,0.5101,0.9229,0.7224,0.6307
router_eval,oracle,0.1,0.1001,0.7067,0.0,,0.2145,0.0411,0.0057,0.1477,0.5101,0.9229,0.7224,0.6449
router_eval,oracle,0.2,0.2001,0.7067,0.0,,0.5768,0.09,0.0057,0.1477,0.5101,0.9229,0.7224,0.6449
router_eval,oracle,0.3,0.3002,0.7067,0.0,,0.5768,0.4602,0.0057,0.1477,0.5101,0.9229,0.7224,0.6449
router_eval,oracle,0.5,0.5003,0.7067,0.0,,0.5768,0.6864,0.3824,0.3381,0.5101,0.9229,0.7224,0.6449
router_eval,oracle,0.75,0.7498,0.5539,-1.0,,1.0,0.8766,0.3824,0.733,0.087,0.7326,0.7224,0.6449
router_eval,oracle,1.0,1.0,0.3037,-1.0,,1.0,1.0,1.0,1.0,0.087,0.6093,0.1048,0.3778
