population,policy,budget,escalation_rate,quality,threshold,assumed_frontier_success,escalation__drafting,escalation__intent,escalation__pii,escalation__urgency,quality__drafting,quality__intent,quality__pii,quality__urgency
router_in_distribution,random,0.0,0.0,0.727,,,0.0,0.0,0.0,0.0,0.7843,0.9,0.73,0.51
router_in_distribution,random,0.05,0.051,0.727,0.963487,,0.0588,0.0222,0.05,0.07,0.7941,0.9,0.71,0.52
router_in_distribution,random,0.1,0.0995,0.727,0.913763,,0.1667,0.0556,0.07,0.1,0.8235,0.9,0.69,0.51
router_in_distribution,random,0.2,0.199,0.7015,0.796447,,0.2157,0.2111,0.19,0.18,0.8333,0.8778,0.63,0.48
router_in_distribution,random,0.3,0.301,0.676,0.692264,,0.3137,0.2667,0.32,0.3,0.8529,0.8667,0.51,0.49
router_in_distribution,random,0.5,0.5,0.6352,0.464953,,0.5,0.4667,0.58,0.45,0.8922,0.8222,0.35,0.49
router_in_distribution,random,0.75,0.75,0.5842,0.241304,,0.7745,0.7222,0.76,0.74,0.9412,0.7444,0.21,0.45
router_in_distribution,random,1.0,1.0,0.523,0.000697,,1.0,1.0,1.0,1.0,0.9902,0.6333,0.05,0.42
router_in_distribution,confidence,0.0,0.0,0.727,,,0.0,0.0,0.0,0.0,0.7843,0.9,0.73,0.51
router_in_distribution,confidence,0.05,0.051,0.75,0.532703,,0.1863,0.0111,0.0,0.0,0.8627,0.9111,0.73,0.51
router_in_distribution,confidence,0.1,0.0995,0.7602,0.482756,,0.3627,0.0222,0.0,0.0,0.902,0.9111,0.73,0.51
router_in_distribution,confidence,0.2,0.199,0.7806,0.393881,,0.6863,0.0222,0.0,0.06,0.9804,0.9111,0.73,0.51
router_in_distribution,confidence,0.3,0.301,0.7806,0.322261,,0.8725,0.0222,0.0,0.27,0.9902,0.9111,0.73,0.5
router_in_distribution,confidence,0.5,0.5,0.7577,0.153642,,1.0,0.0556,0.0,0.89,0.9902,0.8889,0.73,0.43
router_in_distribution,confidence,0.75,0.75,0.6607,0.00274,,1.0,0.6222,0.36,1.0,0.9902,0.6889,0.54,0.42
router_in_distribution,confidence,1.0,1.0,0.523,2.9e-05,,1.0,1.0,1.0,1.0,0.9902,0.6333,0.05,0.42
router_in_distribution,router_p_fail,0.0,0.0,0.727,,,0.0,0.0,0.0,0.0,0.7843,0.9,0.73,0.51
router_in_distribution,router_p_fail,0.05,0.051,0.7143,0.446181,,0.0,0.0,0.0,0.2,0.7843,0.9,0.73,0.46
router_in_distribution,router_p_fail,0.1,0.0995,0.7117,0.441382,,0.0,0.0,0.0,0.39,0.7843,0.9,0.73,0.45
router_in_distribution,router_p_fail,0.2,0.199,0.7092,0.426448,,0.0,0.0,0.0,0.78,0.7843,0.9,0.73,0.44
router_in_distribution,router_p_fail,0.3,0.301,0.6862,0.345093,,0.0,0.0,0.18,1.0,0.7843,0.9,0.66,0.42
router_in_distribution,router_p_fail,0.5,0.5,0.5383,0.226898,,0.0,0.0,0.96,1.0,0.7843,0.9,0.08,0.42
router_in_distribution,router_p_fail,0.75,0.75,0.5485,0.123016,,0.6961,0.2556,1.0,1.0,0.902,0.8444,0.05,0.42
router_in_distribution,router_p_fail,1.0,1.0,0.523,0.100222,,1.0,1.0,1.0,1.0,0.9902,0.6333,0.05,0.42
router_in_distribution,oracle,0.0,0.0,0.727,,,0.0,0.0,0.0,0.0,0.7843,0.9,0.73,0.51
router_in_distribution,oracle,0.05,0.051,0.7781,1.0,,0.1961,0.0,0.0,0.0,0.9804,0.9,0.73,0.51
router_in_distribution,oracle,0.1,0.0995,0.8214,0.0,,0.2353,0.0333,0.0,0.12,1.0,0.9333,0.73,0.63
router_in_distribution,oracle,0.2,0.199,0.8214,0.0,,0.6176,0.0333,0.0,0.12,1.0,0.9333,0.73,0.63
router_in_distribution,oracle,0.3,0.301,0.8214,0.0,,0.9902,0.0556,0.0,0.12,1.0,0.9333,0.73,0.63
router_in_distribution,oracle,0.5,0.5,0.8214,0.0,,0.9902,0.7,0.2,0.12,1.0,0.9333,0.73,0.63
router_in_distribution,oracle,0.75,0.75,0.773,-1.0,,1.0,0.9,0.32,0.79,0.9902,0.7333,0.73,0.63
router_in_distribution,oracle,1.0,1.0,0.523,-1.0,,1.0,1.0,1.0,1.0,0.9902,0.6333,0.05,0.42
router_shift,random,0.0,0.0,0.7182,,,0.0,0.0,0.0,0.0,0.7654,0.8763,0.7115,0.4921
router_shift,random,0.05,0.0497,0.7058,0.948361,,0.0535,0.0569,0.0514,0.0357,0.7819,0.8595,0.6838,0.4722
router_shift,random,0.1,0.1003,0.7001,0.89801,,0.1111,0.1171,0.0949,0.0754,0.8025,0.8395,0.6601,0.4762
router_shift,random,0.2,0.1996,0.681,0.788425,,0.214,0.2207,0.1897,0.1706,0.8148,0.8161,0.5968,0.4762
router_shift,random,0.3,0.2999,0.6562,0.692264,,0.3086,0.3144,0.2885,0.2857,0.8189,0.7893,0.5375,0.4603
router_shift,random,0.5,0.5005,0.6199,0.481199,,0.5267,0.5151,0.502,0.4563,0.8807,0.7391,0.419,0.4286
router_shift,random,0.75,0.7498,0.5759,0.238173,,0.7531,0.7291,0.751,0.7698,0.9177,0.6823,0.2885,0.4087
router_shift,random,1.0,1.0,0.5129,6e-06,,1.0,1.0,1.0,1.0,0.963,0.602,0.1265,0.3611
router_shift,confidence,0.0,0.0,0.7182,,,0.0,0.0,0.0,0.0,0.7654,0.8763,0.7115,0.4921
router_shift,confidence,0.05,0.0497,0.7412,0.513694,,0.2016,0.01,0.0,0.0,0.8519,0.8863,0.7115,0.4921
router_shift,confidence,0.1,0.1003,0.7564,0.458554,,0.3868,0.0234,0.0,0.0159,0.9218,0.8863,0.7115,0.4881
router_shift,confidence,0.2,0.1996,0.7622,0.385384,,0.6667,0.0401,0.0,0.1389,0.9506,0.8896,0.7115,0.4802
router_shift,confidence,0.3,0.2999,0.7603,0.332456,,0.8272,0.0468,0.0,0.3929,0.9547,0.893,0.7115,0.4643
router_shift,confidence,0.5,0.5005,0.7345,0.119301,,1.0,0.107,0.0,0.9881,0.963,0.8829,0.7115,0.3611
router_shift,confidence,0.75,0.7498,0.6504,0.002676,,1.0,0.6722,0.3518,1.0,0.963,0.699,0.581,0.3611
router_shift,confidence,1.0,1.0,0.5129,2.4e-05,,1.0,1.0,1.0,1.0,0.963,0.602,0.1265,0.3611
router_shift,router_p_fail,0.0,0.0,0.7182,,,0.0,0.0,0.0,0.0,0.7654,0.8763,0.7115,0.4921
router_shift,router_p_fail,0.05,0.0497,0.7125,0.443825,,0.0,0.0,0.0,0.2063,0.7654,0.8763,0.7115,0.4683
router_shift,router_p_fail,0.1,0.1003,0.702,0.437961,,0.0,0.0,0.0,0.4167,0.7654,0.8763,0.7115,0.4246
router_shift,router_p_fail,0.2,0.1996,0.6867,0.393659,,0.0,0.0,0.0632,0.7659,0.7654,0.8763,0.6838,0.3889
router_shift,router_p_fail,0.3,0.2999,0.6466,0.349103,,0.0,0.0,0.3597,0.8849,0.7654,0.8763,0.5415,0.3651
router_shift,router_p_fail,0.5,0.5005,0.5396,0.194067,,0.0,0.1237,0.9368,0.9921,0.7654,0.8328,0.1542,0.3611
router_shift,router_p_fail,0.75,0.7498,0.5339,0.122158,,0.6667,0.3946,1.0,1.0,0.8807,0.7425,0.1265,0.3611
router_shift,router_p_fail,1.0,1.0,0.5129,0.099025,,1.0,1.0,1.0,1.0,0.963,0.602,0.1265,0.3611
router_shift,oracle,0.0,0.0,0.7182,,,0.0,0.0,0.0,0.0,0.7654,0.8763,0.7115,0.4921
router_shift,oracle,0.05,0.0497,0.7679,1.0,,0.214,0.0,0.0,0.0,0.9794,0.8763,0.7115,0.4921
router_shift,oracle,0.1,0.1003,0.8185,1.0,,0.214,0.0435,0.0079,0.1508,0.9794,0.9197,0.7194,0.6429
router_shift,oracle,0.2,0.1996,0.8204,0.0,,0.6337,0.0435,0.0079,0.1587,0.9794,0.9197,0.7194,0.6508
router_shift,oracle,0.3,0.2999,0.8204,0.0,,0.9835,0.1104,0.0079,0.1587,0.9794,0.9197,0.7194,0.6508
router_shift,oracle,0.5,0.5005,0.8204,0.0,,0.9835,0.6823,0.1621,0.1587,0.9794,0.9197,0.7194,0.6508
router_shift,oracle,0.75,0.7498,0.7631,-1.0,,1.0,0.8696,0.4071,0.7103,0.963,0.7324,0.7194,0.6508
router_shift,oracle,1.0,1.0,0.5129,-1.0,,1.0,1.0,1.0,1.0,0.963,0.602,0.1265,0.3611
